,Model,Company,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
0,Maruti Wagon R,Maruti,Mumbai,2010,72000.0,CNG,Manual,First,26.6,998.0,58.16,5,1.75
1,Hyundai Creta 1.6,Hyundai,Pune,2015,41000.0,Diesel,Manual,First,19.67,1582.0,126.2,5,12.5
2,Honda Jazz V,Honda,Chennai,2011,46000.0,Petrol,Manual,First,18.2,1199.0,88.7,5,4.5
3,Maruti Ertiga VDI,Maruti,Chennai,2012,87000.0,Diesel,Manual,First,20.77,1248.0,88.76,7,6.0
4,Audi A4 New,Audi,Coimbatore,2013,40670.0,Diesel,Automatic,Second,15.2,1968.0,140.8,5,17.74
5,Hyundai EON LPG,Hyundai,Hyderabad,2012,75000.0,LPG,Manual,First,21.1,814.0,55.2,5,2.35
6,Nissan Micra Diesel,Nissan,Jaipur,2013,86999.0,Diesel,Manual,First,23.08,1461.0,63.1,5,3.5
7,Toyota Innova Crysta,Toyota,Mumbai,2016,36000.0,Diesel,Automatic,First,11.36,2755.0,171.5,8,17.5
8,Volkswagen Vento Diesel,Volkswagen,Pune,2013,64430.0,Diesel,Manual,First,20.54,1598.0,103.6,5,5.2
9,Tata Indica Vista,Tata,Chennai,2012,65932.0,Diesel,Manual,Second,22.3,1248.0,74.0,5,1.95
10,Maruti Ciaz Zeta,Maruti,Kochi,2018,25692.0,Petrol,Manual,First,21.56,1462.0,103.25,5,9.95
11,Honda City 1.5,Honda,Kolkata,2012,60000.0,Petrol,Automatic,First,16.8,1497.0,116.3,5,4.49
12,Maruti Swift VDI,Maruti,Jaipur,2015,64424.0,Diesel,Manual,First,25.2,1248.0,74.0,5,5.6
13,Land Rover Range,Land,Delhi,2014,72000.0,Diesel,Automatic,First,12.7,2179.0,187.7,5,27.0
14,Land Rover Freelander,Land,Pune,2012,85000.0,Diesel,Automatic,Second,0.0,2179.0,115.0,5,17.5
15,Mitsubishi Pajero Sport,Mitsubishi,Delhi,2014,110000.0,Diesel,Manual,First,13.5,2477.0,175.56,7,15.0
16,Honda Amaze S,Honda,Kochi,2016,58950.0,Diesel,Manual,First,25.8,1498.0,98.6,5,5.4
17,Maruti Swift DDiS,Maruti,Jaipur,2017,25000.0,Diesel,Manual,First,28.4,1248.0,74.0,5,5.99
18,Renault Duster 85PS,Renault,Kochi,2014,77469.0,Diesel,Manual,First,20.45,1461.0,83.8,5,6.34
19,Mercedes-Benz New C-Class,Mercedes-Benz,Bangalore,2014,78500.0,Diesel,Automatic,First,14.84,2143.0,167.62,5,28.0
20,BMW 3 Series,BMW,Kochi,2014,32982.0,Diesel,Automatic,First,22.69,1995.0,190.0,5,18.55
21,Maruti S Cross,Maruti,Bangalore,2015,55392.0,Diesel,Manual,Second,23.65,1248.0,88.5,5,8.25
22,Audi A6 2011-2015,Audi,Mumbai,2015,55985.0,Petrol,Automatic,First,13.53,1984.0,177.01,5,23.5
23,Hyundai i20 1.2,Hyundai,Kolkata,2010,45807.0,Petrol,Manual,First,18.5,1197.0,80.0,5,1.87
24,Volkswagen Vento Petrol,Volkswagen,Kolkata,2010,33000.0,Petrol,Automatic,First,14.4,1598.0,103.6,5,2.85
25,Honda City Corporate,Honda,Mumbai,2012,51920.0,Petrol,Manual,First,16.8,1497.0,116.3,5,4.25
26,Nissan Micra Diesel,Nissan,Hyderabad,2012,54000.0,Diesel,Manual,First,23.08,1461.0,63.1,5,4.25
27,Maruti Alto K10,Maruti,Hyderabad,2013,54000.0,Petrol,Manual,Second,20.92,998.0,67.1,5,2.75
28,Honda WRV i-VTEC,Honda,Kochi,2018,37430.0,Petrol,Manual,First,17.5,1199.0,88.7,5,9.9
29,Toyota Innova 2.5,Toyota,Mumbai,2007,262000.0,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7,4.0
30,Renault Duster 110PS,Renault,Bangalore,2013,62000.0,Diesel,Manual,First,19.01,1461.0,108.45,5,7.75
31,Toyota Corolla Altis,Toyota,Delhi,2012,87615.0,Petrol,Manual,First,14.53,1798.0,138.1,5,6.75
32,Mahindra Ssangyong Rexton,Mahindra,Bangalore,2013,72000.0,Diesel,Automatic,Second,11.18,2696.0,184.0,7,12.5
33,Audi A6 2.7,Audi,Kolkata,2010,35000.0,Diesel,Automatic,First,12.4,2698.0,179.5,5,11.5
34,Volkswagen Vento 1.6,Volkswagen,Coimbatore,2014,55431.0,Petrol,Manual,Second,16.09,1598.0,103.5,5,6.98
35,Maruti Wagon R,Maruti,Jaipur,2009,83816.0,Petrol,Manual,Second,14.0,1061.0,64.0,5,1.85
36,Maruti Vitara Brezza,Maruti,Kochi,2018,50075.0,Diesel,Manual,First,24.3,1248.0,88.5,5,8.63
37,Mahindra KUV 100,Mahindra,Delhi,2017,52000.0,Petrol,Manual,First,18.15,1198.0,82.0,5,4.85
38,Mercedes-Benz M-Class ML,Mercedes-Benz,Pune,2013,85000.0,Diesel,Automatic,First,11.74,2987.0,254.8,5,28.0
39,Volkswagen Polo Diesel,Volkswagen,Chennai,2013,62000.0,Diesel,Manual,First,22.07,1199.0,73.9,5,5.0
40,Maruti Alto LXi,Maruti,Delhi,2008,90000.0,Petrol,Manual,Second,19.7,796.0,46.3,5,1.25
41,Tata Nano LX,Tata,Kochi,2014,19698.0,Petrol,Manual,First,25.4,624.0,37.5,4,1.53
42,Mahindra KUV 100,Mahindra,Coimbatore,2017,22033.0,Diesel,Manual,First,25.32,1198.0,77.0,6,5.58
43,Hyundai i20 Magna,Hyundai,Kochi,2014,35487.0,Petrol,Manual,First,18.5,1197.0,82.9,5,4.74
44,Hyundai Elantra 2.0,Hyundai,Bangalore,2014,46374.0,Petrol,Automatic,First,14.62,1999.0,149.92,5,8.85
45,Toyota Corolla Altis,Toyota,Mumbai,2016,52001.0,Petrol,Automatic,First,14.28,1798.0,138.03,5,10.11
46,Hyundai Elantra CRDi,Hyundai,Ahmedabad,2008,58005.0,Diesel,Manual,Second,14.9,1991.0,112.2,5,4.25
47,Toyota Innova Crysta,Toyota,Bangalore,2012,70704.0,Petrol,Manual,First,11.25,2694.0,163.7,7,10.95
48,Hyundai Xcent 1.1,Hyundai,Jaipur,2014,75000.0,Diesel,Manual,First,24.4,1120.0,71.0,5,3.85
49,Mahindra Thar CRDe,Mahindra,Jaipur,2012,75800.0,Diesel,Manual,Second,16.55,2498.0,105.0,6,5.5
